iteration,residual_K
808,8.9341885570e-3
809,8.9127073037e-3
810,8.8912822418e-3
811,8.8699132075e-3
812,8.8486000373e-3
813,8.8273425680e-3
814,8.8061406375e-3
815,8.7849940834e-3
816,8.7639027442e-3
817,8.7428664589e-3
818,8.7218850671e-3
819,8.7009584086e-3
820,8.6800863237e-3
821,8.6592686534e-3
822,8.6385052390e-3
823,8.6177959225e-3
824,8.5971405462e-3
825,8.5765389528e-3
826,8.5559909857e-3
827,8.5354964885e-3
828,8.5150553057e-3
829,8.4946672819e-3
830,8.4743322623e-3
831,8.4540500927e-3
832,8.4338206192e-3
833,8.4136436883e-3
834,8.3935191472e-3
835,8.3734468433e-3
836,8.3534266251e-3
837,8.3334583408e-3
838,8.3135418392e-3
839,8.2936769701e-3
840,8.2738635830e-3
841,8.2541015288e-3
842,8.2343906580e-3
843,8.2147308220e-3
844,8.1951218724e-3
845,8.1755636617e-3
846,8.1560560423e-3
847,8.1365988676e-3
848,8.1171919910e-3
849,8.0978352667e-3
850,8.0786148832e-3
851,8.0595739459e-3
852,8.0405810145e-3
853,8.0216359561e-3
854,8.0027386379e-3
855,7.9838889275e-3
856,7.9650866930e-3
857,7.9463318027e-3
858,7.9276241256e-3
859,7.9089635307e-3
860,7.8903498876e-3
861,7.8717830663e-3
862,7.8532629367e-3
863,7.8347893702e-3
864,7.8163622373e-3
865,7.7979814096e-3
866,7.7796467588e-3
867,7.7613581573e-3
868,7.7431154775e-3
869,7.7249185923e-3
870,7.7067673751e-3
871,7.6886616994e-3
872,7.6706014392e-3
873,7.6525864693e-3
874,7.6346166641e-3
875,7.6166918988e-3
876,7.5988120490e-3
877,7.5809769904e-3
878,7.5631865996e-3
879,7.5454407526e-3
880,7.5277393270e-3
881,7.5100821996e-3
882,7.4924692485e-3
883,7.4749003515e-3
884,7.4573753872e-3
885,7.4398942341e-3
886,7.4224567715e-3
887,7.4050628788e-3
888,7.3877124360e-3
889,7.3704053233e-3
890,7.3531414210e-3
891,7.3359206102e-3
892,7.3187427721e-3
893,7.3016077883e-3
894,7.2845155409e-3
895,7.2674659120e-3
896,7.2504587845e-3
897,7.2334940412e-3
898,7.2165715656e-3
899,7.1996912415e-3
900,7.1828529527e-3
901,7.1660565837e-3
902,7.1493020195e-3
903,7.1325891448e-3
904,7.1159178453e-3
905,7.0992880066e-3
906,7.0826995151e-3
907,7.0661522570e-3
908,7.0496461193e-3
909,7.0331809889e-3
910,7.0167567535e-3
911,7.0003733009e-3
912,6.9840305191e-3
913,6.9677282967e-3
914,6.9514665225e-3
915,6.9352450857e-3
916,6.9190638757e-3
917,6.9029227825e-3
918,6.8868216961e-3
919,6.8707605070e-3
920,6.8547955859e-3
921,6.8389626348e-3
922,6.8231680867e-3
923,6.8074118410e-3
924,6.7916937966e-3
925,6.7760138537e-3
926,6.7603719122e-3
927,6.7447678723e-3
928,6.7292016346e-3
929,6.7136731001e-3
930,6.6981821697e-3
931,6.6827287451e-3
932,6.6673127277e-3
933,6.6519340197e-3
934,6.6365925231e-3
935,6.6212881405e-3
936,6.6060207748e-3
937,6.5907903289e-3
938,6.5755967062e-3
939,6.5604398104e-3
940,6.5453195452e-3
941,6.5302358148e-3
942,6.5151885236e-3
943,6.5001775762e-3
944,6.4852028779e-3
945,6.4702643335e-3
946,6.4553618487e-3
947,6.4404953291e-3
948,6.4256646810e-3
949,6.4108698104e-3
950,6.3961106240e-3
951,6.3813870285e-3
952,6.3666989311e-3
953,6.3520462390e-3
954,6.3374288598e-3
955,6.3228467016e-3
956,6.3082996723e-3
957,6.2937876802e-3
958,6.2793106342e-3
959,6.2648684431e-3
960,6.2504610160e-3
961,6.2360882623e-3
962,6.2217500916e-3
963,6.2074464141e-3
964,6.1931771398e-3
965,6.1789421791e-3
966,6.1647414428e-3
967,6.1505748417e-3
968,6.1364422871e-3
969,6.1223436904e-3
970,6.1082789636e-3
971,6.0942480180e-3
972,6.0802507664e-3
973,6.0662871210e-3
974,6.0523569945e-3
975,6.0384602999e-3
976,6.0245969502e-3
977,6.0107668593e-3
978,5.9969699404e-3
979,5.9832061077e-3
980,5.9694752752e-3
981,5.9557773575e-3
982,5.9421122691e-3
983,5.9284799252e-3
984,5.9148802404e-3
985,5.9013131307e-3
986,5.8877785113e-3
987,5.8742762982e-3
988,5.8608064077e-3
989,5.8473687558e-3
990,5.8339632594e-3
991,5.8205898351e-3
992,5.8072484001e-3
993,5.7939388715e-3
994,5.7806611671e-3
995,5.7674152045e-3
996,5.7542009018e-3
997,5.7410181770e-3
998,5.7278669489e-3
999,5.7147471360e-3
1000,5.7016586572e-3
1001,5.6886014318e-3
1002,5.6755753789e-3
1003,5.6625804184e-3
1004,5.6496164703e-3
1005,5.6366834543e-3
1006,5.6238632570e-3
1007,5.6110853724e-3
1008,5.5983374517e-3
1009,5.5856194204e-3
1010,5.5729312043e-3
1011,5.5602727292e-3
1012,5.5476439212e-3
1013,5.5350447070e-3
1014,5.5224750126e-3
1015,5.5099347651e-3
1016,5.4974238913e-3
1017,5.4849423181e-3
1018,5.4724899732e-3
1019,5.4600667838e-3
1020,5.4476726777e-3
1021,5.4353075827e-3
1022,5.4229714270e-3
1023,5.4106641388e-3
